date,store_id,blackout_hours,generator_hours,grid_hours,diesel_consumed_liters,diesel_cost_mmk,grid_cost_mmk,solar_kwh,total_energy_cost_mmk,operating_mode_actual,operating_mode_planned,submitted_by,submitted_at
2025-10-01,RH-001,5.8,5.6,10.2,3.9,11076.0,638.0,67.3,11714.0,FULL,FULL,Daw Su,2025-10-01 21:58:00
2025-10-02,RH-001,4.8,4.6,11.2,2.3,6435.0,700.0,56.9,7135.0,FULL,FULL,U Aung Ko,2025-10-02 19:40:00
2025-10-03,RH-001,6.8,5.2,9.2,3.0,8610.0,575.0,68.5,9185.0,FULL,FULL,U Aung Ko,2025-10-03 19:17:00
2025-10-04,RH-001,5.3,4.0,10.7,2.7,7962.0,669.0,43.6,8631.0,FULL,FULL,Daw Su,2025-10-04 19:08:00
2025-10-05,RH-001,2.2,2.1,13.8,1.1,3100.0,862.0,62.8,3962.0,FULL,FULL,Ma Thida,2025-10-05 21:11:00
2025-10-06,RH-001,6.2,5.8,9.8,3.6,10177.0,612.0,47.6,10789.0,FULL,FULL,Ko Zaw,2025-10-06 19:07:00
2025-10-07,RH-001,6.0,4.3,10.0,2.2,6558.0,625.0,50.7,7183.0,SELECTIVE,SELECTIVE,U Kyaw,2025-10-07 19:31:00
2025-10-08,RH-001,8.7,8.5,7.3,5.1,14912.0,456.0,71.9,15368.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-10-08 20:23:00
2025-10-09,RH-001,5.4,4.0,10.6,2.0,5668.0,662.0,47.5,6330.0,FULL,FULL,Ko Zaw,2025-10-09 21:35:00
2025-10-10,RH-001,6.8,6.3,9.2,3.1,9061.0,575.0,97.4,9636.0,FULL,FULL,Ko Zaw,2025-10-10 20:09:00
2025-10-11,RH-001,3.8,2.7,12.2,1.6,4560.0,762.0,61.6,5322.0,FULL,FULL,Ko Zaw,2025-10-11 18:12:00
2025-10-12,RH-001,3.3,3.3,12.7,2.0,5714.0,794.0,59.6,6508.0,FULL,FULL,Ko Zaw,2025-10-12 19:34:00
2025-10-13,RH-001,6.4,6.3,9.6,3.4,9931.0,600.0,88.5,10531.0,FULL,FULL,Daw Su,2025-10-13 21:31:00
2025-10-14,RH-001,8.4,6.1,7.6,3.2,8816.0,475.0,50.9,9291.0,FULL,FULL,Ko Zaw,2025-10-14 19:25:00
2025-10-15,RH-001,5.1,4.6,10.9,2.8,7773.0,681.0,42.2,8454.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-10-15 19:31:00
2025-10-16,RH-001,8.9,6.9,7.1,3.1,8912.0,444.0,49.9,9356.0,REDUCED,REDUCED,U Kyaw,2025-10-16 18:40:00
2025-10-17,RH-001,4.5,3.3,11.5,2.1,5974.0,719.0,59.0,6693.0,FULL,FULL,Daw Su,2025-10-17 21:43:00
2025-10-18,RH-001,4.6,4.2,11.4,2.9,8572.0,712.0,101.0,9284.0,SELECTIVE,SELECTIVE,U Aung Ko,2025-10-18 19:58:00
2025-10-19,RH-001,5.2,4.8,10.8,2.4,6871.0,675.0,88.7,7546.0,FULL,FULL,Daw Su,2025-10-19 19:26:00
