date,store_id,diesel_stock_liters,diesel_purchased_liters,tank_capacity_liters,supplier_lead_time_days,days_of_coverage
2025-10-01,RH-001,500.0,300.8,500,2.4,17.6
2025-10-02,RH-001,475.5,0.0,500,0.6,19.4
2025-10-03,RH-001,443.4,0.0,500,1.7,13.8
2025-10-04,RH-001,500.0,301.4,500,1.6,11.5
2025-10-05,RH-001,500.0,339.2,500,2.2,11.3
2025-10-06,RH-001,472.9,0.0,500,0.9,17.4
2025-10-07,RH-001,500.0,288.1,500,2.5,10.8
2025-10-08,RH-001,452.4,0.0,500,1.0,9.5
2025-10-09,RH-001,500.0,258.7,500,2.4,12.3
2025-10-10,RH-001,451.5,0.0,500,2.2,9.3
2025-10-11,RH-001,415.6,0.0,500,2.0,11.6
2025-10-12,RH-001,382.8,0.0,500,2.5,11.7
2025-10-13,RH-001,353.6,0.0,500,1.8,12.1
2025-10-14,RH-001,308.9,0.0,500,1.0,6.9
2025-10-15,RH-001,253.4,0.0,500,2.0,4.6
2025-10-16,RH-001,217.6,0.0,500,1.7,6.1
2025-10-17,RH-001,163.7,0.0,500,1.1,3.0
2025-10-18,RH-001,111.5,0.0,500,1.1,2.1
2025-10-19,RH-001,404.9,315.8,500,2.3,18.0
2025-10-20,RH-001,376.3,0.0,500,1.6,13.2
2025-10-21,RH-001,333.1,0.0,500,1.2,7.7
2025-10-22,RH-001,279.9,0.0,500,1.7,5.3
2025-10-23,RH-001,234.6,0.0,500,1.5,5.2
2025-10-24,RH-001,198.2,0.0,500,0.9,5.5
2025-10-25,RH-001,455.6,302.5,500,1.6,10.1
2025-10-26,RH-001,500.0,282.2,500,1.1,12.4
2025-10-27,RH-001,445.4,0.0,500,1.2,8.2
2025-10-28,RH-001,399.8,0.0,500,1.7,8.8
2025-10-29,RH-001,350.9,0.0,500,0.9,7.2
2025-10-30,RH-001,304.4,0.0,500,1.9,6.6
2025-10-31,RH-001,482.6,223.8,500,1.4,10.6
2025-11-01,RH-001,436.4,0.0,500,0.9,9.4
2025-11-02,RH-001,416.1,0.0,500,1.2,20.5
2025-11-03,RH-001,376.7,0.0,500,1.2,9.6
2025-11-04,RH-001,338.6,0.0,500,1.3,8.9
2025-11-05,RH-001,304.3,0.0,500,1.6,8.9
2025-11-06,RH-001,248.2,0.0,500,1.5,4.4
