po_number,po_date,supplier_id,ordered_by,quantity_liters,market_price_per_liter,actual_price_per_liter,total_cost_mmk,price_vs_market_pct,delivery_location,promised_delivery_date,actual_delivery_date,delivery_delay_days,status,order_type,ai_recommended,notes
PO-2026-0001,2025-10-01,SUP-002,Ma Yin Mar,100.0,2840,2812,281200,-1.0,RS-003,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0002,2025-10-01,SUP-002,U Min Htet,100.0,2840,2812,281200,-1.0,FB-002,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0003,2025-10-01,SUP-002,U Min Htet,100.0,2840,2812,281200,-1.0,RH-003,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0004,2025-10-01,SUP-001,Ma Yin Mar,110.0,2840,2897,318670,2.0,RS-010,2025-10-03,2025-10-04 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0005,2025-10-01,SUP-003,Ko Zaw Lin,157.0,2840,3062,480734,7.8,PO-003,2025-10-04,2025-10-04 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0006,2025-10-02,SUP-002,Daw Su Su,100.0,2798,2770,277000,-1.0,RS-003,2025-10-03,2025-10-05 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0007,2025-10-02,SUP-004,Ma Yin Mar,100.0,2798,2798,279800,0.0,DL-001,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0008,2025-10-02,SUP-003,Ko Zaw Lin,100.0,2798,3021,302100,8.0,FV-003,2025-10-05,2025-10-07 00:00:00,2,DELIVERED,EMERGENCY,False,
PO-2026-0009,2025-10-02,SUP-001,Ma Yin Mar,219.0,2798,2854,625026,2.0,PM-003,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0010,2025-10-02,SUP-002,Ma Yin Mar,156.0,2798,2878,448968,2.9,DC-003,2025-10-05,2025-10-05 00:00:00,0,DELIVERED,EMERGENCY,False,
