date,hour,store_id,solar_kwh,solar_capacity_kw,efficiency_pct
2025-10-01,8,RH-001,26.21,100.0,26.2
2025-10-01,9,RH-001,21.32,100.0,21.3
2025-10-01,10,RH-001,25.19,100.0,25.2
2025-10-01,11,RH-001,73.97,100.0,74.0
2025-10-01,12,RH-001,60.2,100.0,60.2
2025-10-01,13,RH-001,33.18,100.0,33.2
2025-10-01,14,RH-001,44.94,100.0,44.9
2025-10-01,15,RH-001,36.3,100.0,36.3
2025-10-01,16,RH-001,15.44,100.0,15.4
2025-10-02,8,RH-001,10.94,100.0,10.9
2025-10-02,9,RH-001,50.71,100.0,50.7
2025-10-02,10,RH-001,37.91,100.0,37.9
2025-10-02,11,RH-001,54.52,100.0,54.5
2025-10-02,12,RH-001,46.51,100.0,46.5
2025-10-02,13,RH-001,57.33,100.0,57.3
2025-10-02,14,RH-001,54.58,100.0,54.6
2025-10-02,15,RH-001,36.31,100.0,36.3
2025-10-02,16,RH-001,28.96,100.0,29.0
2025-10-03,8,RH-001,29.51,100.0,29.5
2025-10-03,9,RH-001,45.07,100.0,45.1
2025-10-03,10,RH-001,35.54,100.0,35.5
2025-10-03,11,RH-001,61.58,100.0,61.6
2025-10-03,12,RH-001,56.34,100.0,56.3
2025-10-03,13,RH-001,28.93,100.0,28.9
2025-10-03,14,RH-001,60.01,100.0,60.0
2025-10-03,15,RH-001,41.55,100.0,41.5
2025-10-03,16,RH-001,26.95,100.0,27.0
2025-10-04,8,RH-001,12.95,100.0,13.0
2025-10-04,9,RH-001,39.82,100.0,39.8
2025-10-04,10,RH-001,26.85,100.0,26.9
2025-10-04,11,RH-001,47.03,100.0,47.0
2025-10-04,12,RH-001,44.82,100.0,44.8
2025-10-04,13,RH-001,33.05,100.0,33.0
2025-10-04,14,RH-001,55.49,100.0,55.5
2025-10-04,15,RH-001,37.46,100.0,37.5
2025-10-04,16,RH-001,20.32,100.0,20.3
2025-10-05,8,RH-001,23.76,100.0,23.8
2025-10-05,9,RH-001,38.33,100.0,38.3
2025-10-05,10,RH-001,63.97,100.0,64.0
2025-10-05,11,RH-001,57.29,100.0,57.3
2025-10-05,12,RH-001,73.06,100.0,73.1
2025-10-05,13,RH-001,50.62,100.0,50.6
2025-10-05,14,RH-001,64.44,100.0,64.4
2025-10-05,15,RH-001,43.43,100.0,43.4
2025-10-05,16,RH-001,9.93,100.0,9.9
2025-10-06,8,RH-001,16.57,100.0,16.6
2025-10-06,9,RH-001,36.49,100.0,36.5
2025-10-06,10,RH-001,38.47,100.0,38.5
2025-10-06,11,RH-001,60.71,100.0,60.7
2025-10-06,12,RH-001,68.42,100.0,68.4
2025-10-06,13,RH-001,29.01,100.0,29.0
2025-10-06,14,RH-001,70.04,100.0,70.0
2025-10-06,15,RH-001,30.77,100.0,30.8
2025-10-06,16,RH-001,25.78,100.0,25.8
2025-10-07,8,RH-001,16.57,100.0,16.6
2025-10-07,9,RH-001,14.8,100.0,14.8
2025-10-07,10,RH-001,41.61,100.0,41.6
